@relation comentarios_base
@attribute comment string
@attribute classificador {positivo, negativo, neutro}
@data
"senador certo brasil pessimo colocar lugar tempo novas eleicoes chegando apareca alguem povo saiba votar", neutro
"desculpe senador horao brasil precisa impeachment tudo tempomeu voto bolsonaro senhor candidatar pra presidente segunda opcao", neutro
"brasil senador sinceramentese qser ganhar eleicao brasil fuja desse antro esquerdistatanto desses blogs quanto ideias", neutro
"problema destes fatos inercia brasileirosse patriotas soubessem lutar direitos estariam indo ruas parando paisporem durante quase anos fabricando alienados politica comunistas vistas grossas quase todos congressistas diante tamanha gatunagem alarmando tarde demaisesta parecendo dedetizacao bueirose ratos acaba", neutro
"senador favor lidere cruzada saida desta quadrilha continua fazer pais sangrar veja mortes falta recursos hospitais estradas escoam producao escolas abandonadas veja escandalo aqui estado desgoverno tomou conta bandidos mofar cadeia", neutro
"parabens coragem corrupto estimacao adote umnao interessa partido enquanto povo divide pra saber roubou menosa gasolina subir gas desemprego etca iminencia aprovacao reforma previdencia vai manter altos salarios magistrados politicos militares vai pagar conta vai ser trabalhador colono", neutro
"finalmente parabens diz hora esperarmos eleicoes digo brasil dar basta mostrar mundo queremos compactuamos corruptos vem desculpa economia nada vergonhoso destruidor continuar corruptos escandalos vergonha mundial", neutro
"onde senador alvaro dias lula dilma quadrilha assaltaram pais constituicao problemas relativos temer durante mandato colocar temer cruz janot pedestal pedir absolvicao ptralhas corruptos deixem homem governar deixem homem fazer reformas janot inscreveu podemos chega conversa mole", neutro
"acredito alvaro dias possa ser bom candidato francos brasil pagina asquerosa criada cara denunciado lavagem dinheiro oriundo propina corrupcao petrobras pedido nada menos tesoureiro pestista bandido joao vaccari compartilhar busca credibilidade pessima ideia", neutro
"colocar maia quanta diferenca unica coisa vai acontecer brasil vai afundar pouco gente vai adorar", neutro
"favor senador admiro nada nada dessa fonte confiavel pareca algo bom pode crer blog podre", neutro
"estarrecidos anos vermos quadrilha corruptoscomandar paisa onde politicos honestossei poucosnao basta serem bonse preciso agirqual caminhoresponda favor senadorobgd", neutro
"senador onde senhor todo tempo agora manifestou porque presidenciaveis eleicao bom cala age mostra cara doa doer", neutro
"contigo amigoestamos cansados tanta roubalheira desta classe politicapega dinheiro publico fazerem bem quiser dane povopoliticos falsos ladrao", neutro
"diretas tudo quer condenado candidatar presidente proximas eleicoes vamos votar presidente ponha brasil trilhos", negativo
"senador alvaro dias voto senhor conheco trabalho pois mori anos curitiba voto sempre precisamos pessoas comprometida pais povo trabalhador sofrido voto respeito parabens", neutro
"vou discordardeveria ter providenciado execucao civil decisao mensalao revertendo cofres uniao prejuizo expropriacao bens inclusive possiveis laranjas pais exemplo dono hotel srpaulpanamenho", neutro
"caro senador envoltos verdadeiras quadrilhas politica nacional candidase presidencia ajudenos mudar historia desse pais possivel continuar bandalheira politica pais ultima coisa pensam povo parece acham cara otario obrigados aceitar tudo falam fazem creio unico nome possa resgatar dignidade", neutro
"voto deveria concentrar energias saber outras causas acabar temer funcao dele", neutro
"parabens lugar corruptos cadeia quero ser representado chefe quadrilha negocios ilicitos porto dantos anos", neutro
"sei tarefa senador contra corruptos facilmastambem impossivelsei cidade joao sulsconde corruptos poder ainda", neutro
"gosto muitos candidatos ficam emcima muro senador sempre deixa claro contra corrupcao independente partido muitos criticam diante continuacao corrupcao calam mim falsos moralistas afinal limpeza ser continua", neutro
"brasil fonte horrivel apaga antes pensem apoia", neutro
"pode contar voto apoio senador alvaro dias pena estado alagoas politico altura", neutro
"pqp alvaro dias apaga brasil247 jornalismo queimado existe", neutro
"brasil senador vai queimar filme aqui portal lixo", neutro
"aproveita senador alvaro pede intervencao militar brasil precisando quadrilha poder", neutro
"alvaro dias sendo pouco irresponsavel ideia todo brasileiro consciente sabe trata", neutro
"queremos melhor brasil saiam bandidos entrem pessoas vergonha cara queiram melhor todos", neutro
"homem carater senador alvaro dias parana conte voto futuro presidente republica brasil parabens iniciativa", neutro
"compartilhando noticia diario mortadela azeda daqui pouco estara filiando psol", neutro
"brasil site petista tentando prejudicar imagem alvaro dias", neutro
"senador faz utilizar petista posts vergonha", neutro
"gosto senador alvaro dias conto contudo peco encarecidamente senador repugne base figura publica qualquer coisa relacionada brasil falta credibilidade chega extremo midia falsa desinformativa maioria materias", neutro
"alvaro dias alinhado porcaria lamentavel", neutro
"brasil retomar crescimento geracao empregos primeiro passo saida atual presidente michel temer", neutro
"brilhante corajoso senador melhor presidente", neutro
"deixe homem defender carro frente bois quiser ser presidente entao recebera pais trilhos trate saber governar porque cargo espinhoso", neutro
"cima golpe estado montado jbsjanotfachin globo apoio midia marrom feio senador", neutro
"reproduzindo esgotosfera petista brasil lamentavel perdeu voto", neutro
"como ficara brasil temer sair agora corremos risco querer osso", neutro
"kkkkkkk moradores vila domitila aqui curitiba nenhuma resposta senador parana alvaro dias agora nada", neutro
"senador senhor bom tome vergonha brasil", neutro
"trocar temer rodrigo maia obrigada prefiro esperar eleicoes", neutro
"alvaro dias realmente senho medo perder votos usando blog fonte", neutro
"serio senhor sendo elogiado hummmvou ficar ligado", neutro
"site petralha fica publicando querem denegrir senador acreditem nisso acho viu pagina senador publicou", neutro
"sei dou parabens pesames sair basil247 pasquim nojento piores concorre", neutro
"senador pauta candidato presidencia desde dado direito votar urnas impressas novamente", neutro
"parabens queremos renuncia imediata desse gatuno quadrilha", neutro
"referencia senador queimacao filme melhor postar", neutro
"senador pede stf prender temer pro brasil andar canalla pmdb aliados", neutro
"kkkk senador povo agora agredecee vamos alvaro dias", neutro
"creio suportara tantas denuncias deputados cobrira ano havera eleicoes tanto senadores deputados ticao infernopor ano vem votarmos ainda coerencia patriotismo menos toma", neutro
"coisa interessante vermelhos irritaram ruas saida dilma vomitaram saida dilma golpe pois ate agora ajnda nao mesmos vermelhos querem saida temer terem feito alguma coisa", neutro
"jornal financiado esquerda publicando materia favoravel candidato direita coisa", neutro
"parabens senador alvaro dias conseguiu sair site financiado conhecido brasil247 esgotosfera petista", neutro
"pra mim tarde acho melhor assim ano vem", neutro
"boa tarde ilustre senador alvaro dias futuro presidente republica ficha limpa passou hora presidente temer sair absurdo insistir apos tantos escandalos comprando politicos perdoando dividas milionarias credibilidade quase cento etc denuncias gravissimas faz conta nada acontecendo simplesmente terrivel parabens preparadissimo competentissimo futuro presidente", neutro
"parabens senador alinha hipocrisia mascarada defesa estabilidade", neutro
"temer dignidade peca reuncia deixe ser dissimulado", neutro
"parabens senador agora pensamentos coadunam familia juntos contigo", neutro
"senador nao alguma maneira acabar leis dao dinheiro pra fazer filmes tao falando youtuber vai gastar dinheiro mano", neutro
"aguardando atitude parte senador alvaro dias passa ter respeito consideracao", negativo
"opiniao leigo acho senador devesse candidatar presidencia republica que porque senador tao conhecido quanto bolsonaro exemplo exemplo vim ter conhecimento sobre senador pouco tempo acompanhado trabalho desde entao desejo sucesso senador gostaria saber opiniao senador sobre bolsonaro poder", neutro
"senador voto referenciar site brasil tiro", neutro
"boa noite senador parabens deus abencoe", neutro
"desde ultima eleicao sugeri senador candidatasse presidente fiz pagina facebook sair candidato mudo partido phs apoiar fazer campanha porque considero homem publico integro leal justo tipo precisamos hojepara governar pais", neutro
"senador vergonhoso ter presidente envolvido tanta coisa errada", neutro
"vai assumir presidente camaraoutro corruptoestamos saida sai espeto cai brasa", neutro
"sempre confiem trabalho des tempo morava parana parabens", neutro
"certeza senador quadrilheiros podem estar comando brasil sim cadeia fim foro privilegiado", neutro
"ainda mantendo noticia errar humano permanecer erro burrice", neutro
"responde porque muda tanto partido porque mandou cavalaria atacar professores", neutro
"gente mente fraca podem querer senhor presidente primeira oportunidade governador deceu cassete professores paranavem parana gente pergunta todos professores algum vota neste senhor", neutro
"necessario chamar liderar povo ruas senador senhor possibilidade faca bem pais alavancar eleicao", neutro
"alvaro dias ficaria lugar eleicoes", neutro
"vai ser eleito saida temer agora desastre pais sinal pensa nele agora deixar esperar pra elegermos presidente verdade", neutro
"sei senadorsim nao vao arquiva outra denunciapq deputado joga time temar tudo curupido", neutro
"parece brincadeira quer tirar cara faltando ano olha custo vai entrar maia vou antecipar maia", neutro
"senador alvaro dias candidato forte presidencia republica", neutro
"cada ato destes senador reforca decisao esperanca deste pais fragilizado corrupcao voto modesto cabo eleitoral aki rondonia falando rondonia governador pra sair senado pmdb vai queimar candidatura raupp quer ser unico partido confucio moura bem pesquisas opurtuno convodalo pra filiarse podemos fala abracos presidente", neutro
"senador faca propaganda mostrando plano governo pretende fazer junta incompetentes fazendo criticas", neutro
"concordo senador temer pagar senao vamos ficar rodrigo maia temer cuidar ter denuncia governo maia pretensao ser presidente vai virar pais", neutro
"agora desceu nivel site tbm conhecido site credibilidade humilde opiniao alvaro dias", neutro
"outro perigoso igual ciro gomes ontem tds juntos agora negam cadaver", neutro
"site kkk fala serio senador basta somar numeros vera tras desta turma", neutro
"futuro grande presidente pais senador alvaro dias parabens todas iniciativas", neutro
"temer merece ser expulso planalto toque caixa ladrao corrupto", neutro
"guilherme freitag maria luiza barth presenciem defendendo alvaro dias senador porreta kkkkkk", neutro
"alvaro sempre admirei certeza haveria arrepender coerencia retidao honestidade competencia deus oriente proteja todos males vamos vamos juntos", neutro
"alvaro dias compartilhando publicacao site financiado quadrilha", neutro
"parabens senador precisamos livrar desse mal dessa vergonha nacional", neutro
"menos pois estranho tanta denuncias michel temer ainda continuar poder", neutro
"brasil babava baba ovo pro lula entendi", neutro
"brasil cai nessa senador", neutro
"deu imprensa vermelha vermelhou senador", neutro
"parabens senador brasil precisa politicos atitudes", neutro
"brasil 247ta loko senador", neutro
"calma sai dai senador podera tentar sorte", neutro
"pqp site petista", neutro
"poxa decepcao", neutro
"brasil pagina petista alma alvaro dias certeza quer seguir caminho", neutro
"brasil falta imprensa fato nesse pais", neutro
"senador utiliza site petista perde toda confianca", neutro
"parabens senador conte comigo", neutro
"blog petista estranho elogio", neutro
"assim comeca ganhar confianca povo brasileiro", neutro
"kkkkkkkkkkkkkk", neutro
"nao fose mesma turma oportunista vosa eselencia", neutro
"voto", neutro
"primeira noticia verdadeira site mentiroso fala apoia nao senador", neutro
"cola casa joga time ganhando", neutro
"gasolina vai chegar reais senador ano ainda feio negocio", neutro
"assumira presidencia caso temer cair maia aff", neutro
"putz alvaro dias divulgar artigo quer queimar", neutro
"porra alvaro fonte furada", neutro
"janot cretino agenda segurou pode", neutro
"publicacao neste site depor contra candidatura", neutro
"gustavo costa foster esquerda pede falando", neutro
"compartilhando post dessa pagina lixo", neutro
"outro cheio moral quer ser presidente", neutro
"pelegos bloguezinho ptralha comunistas", neutro
"poupe senador buscar postar tipo site fanpage decepcionada senador", neutro
"parabens atitude nome povo brasileiro", neutro
"bolsonaro", neutro
"passou hora desse corrupto sair", neutro
"manchete queima filme qualquer credo", neutro
"apoiado ninguem aguenta senhor", neutro
"correto senador", neutro
"parabens senadorconte comigo", neutro
"alvaro dias esquerda simples assim", neutro
"", neutro
"candidato", neutro
"foro privilegiado senador", neutro
"exemplo faz pdv temer", neutro
"horror patrocinado", neutro
"aplausos grande senador", neutro
"diretas", neutro
"desde nobre senador confia blog", neutro
"unico politico digno receber voto presidente", neutro
"", neutro
"apoiado", neutro
"serio bolsonaro fazme rir vcs", neutro
"voto", neutro
"representa", neutro
"apoiado", neutro
"parabens senador deus contigo", neutro
"boa senador", neutro
"podemos", neutro
"tamos juntos presidente", neutro
"pois soma algarismos treze", neutro
"senador adepto ficar cima muro", neutro
"logico outros tudo rabo preso temer", neutro
"conte voto presidente", neutro
"ficara lugartodos envolvidos roubalheira", neutro
"voto alvaro dias deus ajude", neutro
"pec foro privilegiado dificil aprovado", neutro
"alvaro dias neste confio", neutro
"breve", neutro
"bem confiavel kkkkkkkkkkkkkk que acham", neutro
"conte apoio senador", neutro
"vergonha alvaro dias oportunismo politico", neutro
"presidente bolsonaro", neutro
"orgulho deste senador", neutro
"alvaro quebra citrar jornal esgotosfera foda", neutro
"blog pelego", neutro
"michel temer traidor patria sangue maos", neutro
"grande coisa conluio", neutro
"aplausos", neutro
"cara intuicao aprova", neutro
"voto", neutro
"apoiadoooo", neutro
"parabens", neutro
"vai entrar nhonho lugar dracula", neutro
"sair urgente", neutro
"alvaro banestado dias voluvel", positivo
"alvaro dias presidente brasil", neutro
"oportunismo", neutro
"boa senador vamos tudo certeza voto", neutro
"sim", neutro
"mando agora brasil surgiu luz fundo tunel empresas voltaram melhorar sair temer continuar fortissimo candidato sabe porque brasil volta crescer coisas volta devidos lugar vai acabar muitos sonhos inclusive senador vcs podem ter certeza brasil mil vai ter emprego pra todos coisas vento poupa atrapalha jogo interesse", neutro
"senador alvaro dias quer tirar temer colocar senador alvaro dias quer tirar temer colocar luladrao", neutro
"dito posicoes senador alvaro dias perfeitas temer vendo pais sangrando dignidade largar osso sair foro privilegiado defender acho mandando cabrito vigiar horta claro quer sair pois defesa defender daquela gravacao", neutro
"oportunista balaio", neutro
"bolsonaro pediu faz tempo", neutro
"voto", neutro
"senador voto concertezaesse ladrao gravata deveria estar preso devolvendo surrupiou", neutro
"", neutro
"", neutro
"", neutro
"", neutro
"", neutro
"brasil blogueiros petistas", neutro
"brasil247 bela fonte", neutro
"confiar brasil247 arrepios", neutro
"sociedade luto assinaturas contra pls excelentissimo ajude contra pls aberracao senhor senador amor deus pois nocivo inconstitucional dignidade humana acima lei humilhando familiar contra povo clt ganhando milhoes induz erro pls aberracao total confira opiniao presidente aires ribeiro vamos juntos defender servidor imoralidade ser extinta brasileiros iremos ruas contra senador afavor urnas votar contra senador lasier martins maria carmo roberto requia humilhou funcionario publicos todo brasil clt super salarios fatima bernardes ganhava r450000 mes jornal nacional hoje fatura r2000000 dois milhoes reais programa encontro mara maravilha livia andrade bradesco caixa economica rede globo deve bilhoes ignoram inss vejam escandalo cltforaja greve geral vamos calar jamais ate redes socias", neutro
"alvaro brasileiros", neutro
"fim foro privilegiado vale pena lutar", neutro
"presidente parabens alvaro dias determinacao postura", neutro
"unicos denunciando obrigado", neutro
"corretissimo senador alvaro dias", neutro
"urgente senador urgente", negativo
"senador temer paga bem depultados votar abertura investigacao dinheiro povo", neutro
"vcs imaginaram quanto temer gasta dinheiro defender", neutro
"homem representara bem brasil povoestou estarei sempre presidente", neutro
"nao erro futuro presidente", positivo
"senador", neutro
"temer", neutro
"", neutro
"dificil", neutro
"votei menos temer agora alvaro dias deveria pensar bem brasil querer temer responda atos agora chega ser irresponsabilidade nacao temer pagar erros sim agora deixa homem terminar mandato imaginou impeachment causaria economia momento temer sair entra rodrigo maia tbm envolvimento lava jato consequentemente eleicao direta digase passagem completamente inconstitucional lula condenado disse jararaca morta enquanto nada pode impedir candidatura lula eleicao momento lula ganha novamente pois povo idolatra quer janot perseguindo temer sim pois nenhum momento falou alguma coisa lula entao vamos devagar pois temperatura alta senhor pode estar apostando muitas fichas proxima eleicao", neutro
"camara julga coisa nenhuma julga dependendo quantidade dinheiro malas caixas notas reais notas usadas pra tornar dificil qualquer investigacoes temporada negocios sujos pra salvar mandato presidente vai comecar dinheiro dinheiro pior tudo ninguem faz nada ainda gente bate palma acha pouco", neutro
"havera dia todos voltaremos ser felizes dia rosinha apenas flor garotinho apenas crianca genuino algo verdadeiro serra apenas acidente geografico genro apenas marido filha lula apenas molusco marinho severino apenas porteiro predio neves apenas simbolo inverno entao nada temer nesta vida vai ser felicidade alegria melhor jair acostumando", neutro
"outra votacao michel temer gastou aproximadamente milhoes banquetes mil noites pagamento deputados corruptos quanto custara proxima votacao parabens postura inabalavel senador otimo final semana", neutro
"aqui goias senador alvaro dias antecipei feito divulgacao senhor presidente unico experiencia condicoes talento idoneidade cargo atual momento vejo outro iguais condicoes agora vamos deixar temer terminar mandato podem outro dia colocar papuda agora corremos risco engenharia macabra politicos raposa mudar regra jogo esperancas transformarem lamentos pense nisso senador alvaro dias", neutro
"boa excelencia sempre palavras bem colocadas justa defesa sociedade brasileira agradecelo belas belas firmes palavras contra corrupcao sistemica administrada organizacoes criminosas dentro poder republica", neutro
"futuro presidentecomplacencia corrupcao poder enquanto sociedade governo sido banido brasil sobre redeas politicos corruptos stf ainda corrupto lamentavel", neutro
"sim tamanho dessa sociedade indignada vejo complacencia revolta brasil outro mundo formado masoquistas reclamam apanham pra fingir gostam apanhar", neutro
"duvido aquela cambada marginais irao fazer justica infelizmente maioria tao corrupta consequentemente tao criminosa quanto presidente brasil sendo governado quadrilha intervencao vai deter bandidos", neutro
"alvaro dias povo espera pois aguentam impunidades vem acontecendo feito justica restricao lei todos", neutro
"senador sao paulo conta casamento americano fico meses eua brasil conta aposentadoria esposo eua conta alguns compromissos brasil vamos morar brasil vai depender coisas vao caminhar politica aprecio trabalho quero ver voce presidente coisa abomino receber dinheiro empresas financiar campanha porque tornou meio final governo acaba legilslando empresariosentao redes sociais alvaro dias", neutro
"acho dificil pois acaba comprando todos novamenteem brasilia coisas funcionam base toma presidente coreia norte devia soltar bomba brasilia estados unidos", neutro
"cidadao bom acho familia bolsonaro magno malta pais vai mudar pior tudo comunismo antipatriota petista vai avancar planos dominacao brasil dominando assim america sul forca trump forca moro forca bolsonaro2018 forca alvaro dias", neutro
"cofre vez aberto fica facil livrar denuncia porem dia julgado privilegios dificilmente consiga eleger cargo deputado", neutro
"vou votar vez alvaro dias pedimos escapar cadeia agora governo presos obrigado pagar impostos livrar bandidos", neutro
"senador alvaro dias responde questao ideologia escolas publicas fas penssar ele apoia imoralidade sexual promovido esquerda comunista asquerosa", neutro
"acho senador querendo apoio justamente elegeu temer agora contra abram olho pode deixar corrupto mor nove dedos candidatar novamente", neutro
"cansados ver camara apoiando mentindo existe prova contra temer gravacao prova vendo congresso apoiando corrupcao instalada governo", neutro
"senador alvaro dias precisamos acabar impunidade quadrilha alojou poder publico pais candidato", neutro
"senador alvaro dias sociedade aguarda expectativa algumavai acabar tudo pizza primeira vez sobrou algum comprar deputados", neutro
"deixar eleicoes ano vem impressao querendo derrubar novamente brasil fundo poco confio nestas boas intencoes", neutro
"nao podemos falar corrupcao coisas acontecendo dando risadas pois politicos nao levam serio igual crianca chora dando risada todos sabem fazendo manha nao levam serio", neutro
"acredito senador dinheiro roubado pra pagar deputado corrupto duas semanas brasil parado vem brasil novamente temer viajando pra rio janeiro pra agradar presidente camara deputados rodriguo maia brasil saida canallas poder outro pais lula temer morto", neutro
"senador deus sempre forca pra lutar contra corrupcao deus abencoevc sempre lutar povo brasileiro", neutro
"senador temer usa dinheiro pra livrar cara deputados aproveitam disso pra engordar bolsos revoltante", neutro
"acho dificil senador camara atual parece ser corruptas brasil vai ser comprada novamente", neutro
"esperamos parlamentares inocentem corja comecar congressistas podemos outra denuncia votaram favor temer", neutro
"parabens senadorinfelizmente maioria politicos envolvidos corrupcaoso legislam causa propriadeveriam estar todos cadeia", neutro
"querendo antecipar pleito ano vem assim sendo dara tempo trf julgar lula logo fazendo tudo colocar canalha disputa simples assim procurador quatro anos fez nenhuma denuncia contra dilmalula quinze dias jogou merda ventiladordo filhote hoje mega empresario conseguia juntar zoologico diretas vamos parar mania furar fila pmdb temer serem julgados sim eleicoes ano vem primeiro luladilma", neutro
"verdade senador indignados trabalhamos ganhamos pouco enquanto politicos corruptos roubam ficam punicao", neutro
"dando tempo destruicao provas justisa salva corruptos poder esperado regime democratico todos iguais perante lei ainda imunidade pra lamentar", neutro
"desculpe senador senhor vida publica anos fez nada contra corrupcao", neutro
"podemos ajudar ministro stf alexandre moraes liberar processo fim foro privilegiado aprovacao", neutro
"bom nobre senador usase lideranca erro primeira votacao agora corrigido", neutro
"senador temer sair maia ficara lugar denunciado", neutro
"deputados podem ser favor dessa vergonha ter conivencia corruptos crime deve ser punido queremos valorizacao servico publico pessoas credibilidade ocupando cargos importantes", neutro
"senador macaco pois partido politico algum cada hora porque quer ser presidente republica", neutro
"camera praticamente toda mafia escalas poucos escapam maioria corrupta votam nada nunca contra", neutro
"tolerarmos criminosos elaborarem leis mal intencionados repugnante", neutro
"certeza vamos exigir nomes ratos deputados venderam continurao pratica", neutro
"fachin alvaro dias apoiando janotpetralha enrustido alvaro quer ver pais desandar vir salvadornao elege pra governador parana", neutro
"duvidoooo julgue vai ser uns milhoes tirado bolso povo", neutro
"sociedade espera poucos salvam senador senhor esperanca deputada renata abreu podemos", neutro
"apoio combate corrupcao estarei apoiando pra presidente abs", neutro
"pra mim votar milhao vezes voto alvaro dias homem itegro honesto competente", neutro
"alvaro dias querendo ser certinho mostrando bonzinho vamos ver chegar vai ser aparentando vai fazer pior outros mesma acredito ninguem daqui pra frente vou votar assim voto ninguem vai enricar", neutro
"decepcionei deputado outra votacao espero todos verdadeiros representantes povovote favor dignidade povo contra corrupcao", neutro
"precisam motivar sociedade vez ruas tirar quadrilheiros poder", neutro
"primeiro lugar lula cadeia segundo temer", neutro
"caro senador iluda duvido aconteca tudo dominado", neutro
"senador alvaro dias voto amigos janot tao serio assim vamos deixar temer acabar mandato ver emprego volta damos troco neles todos aliados povo sofrendo tudo aqui bahia mafia pura casa voto deu oportunidade pessoas realmente precisavam pois movimentos sociais humilhando pessoas ajude manda mpf tomar providencia", neutro
"pgr diz organizacao criminosa senador brasil contestalo", neutro
"camara agora dara andamento investigacao embolsara propinas", neutro
"vamos incluir libras matriz curricular clique link apoie ", neutro
"indignados eleitores moradores vila domitila aqui curitiba esperando atencao interesse problema junto inss nada", neutro
"todos culpa alastramento corrupcao estalou pais ultimos tempos stf poder executivo judiciario populacao etc maior culpa duvidas legislativosem generalizar claro", neutro
"somente temer corja corrupta toda direitos politicos cassados definitivamente", neutro
"vamos abater piloto apesar criminoso caminho pousoquem vai assumir comando assim tiramos piloto caia aviao todos dentropresisamos sim saida", neutro
"senhores deputados dessa vez vendam porque ano vem eleicao", neutro
"alvaro dias respeito voto juntos podemos mudar brasil", neutro
"senador agindo revogar prisao segunda instancia livrando assim candidato prestes ser preso pares agir pois possivel corruptos candidatos outros corruptos irmaos carne saiam livre leves soltos tantos crimes confessos contar outros tantos bandidos ainda denunciados", positivo
"unico gabarito qualificacoes ser presidente tentar tirar brasil dessa lama uns outros falar vai levar mar pra prometeu kkkkkk fala brincadeirinha ahhhhh faca mil favores atual cenario politico estar ser desse brincando monte jumento aplaudindo presidente alvaro dias canditado vai ser eleito", neutro
"realmente esperamos chega falcatruas maracutaia desperdicio dinheiro sustentar corrupcao neste pais chega impunidade", neutro
"presidente certeza inocencianao vejo razoes comprar votos ser absorvidoque enfrente dignidade defesa", neutro
"nunca ira acontecer presidente pro plenario camara sera mesma coisa primeira denuncia", neutro
"alvaro dias presidente espero eleito pulso firme nao corrompa outros", neutro
"verdade baracho uns cambada facinoras poder politico pobre entram pra roubar", neutro
"comecar proprio podemos onde maioria votou favor temer", neutro
"senador acho homem preparado governar pais candidato apoio aqui cidade coracao jesus", neutro
"senador congresso nacional vergonha brasil basta temer molhar mao dinheiro publico nada funciona temer resto praga chamada contaminou pais tanta corrupcao", neutro
"alvaro dias fica mentira povo monte palavreado viu ladrao aprovar aumento pena viu ladrao aprovar diminuicao quentinha viu ladrao aprovar coisas complica vida ladrao usada brasilia solucao rapaz botar aviao daquele passageiros vem abu dhabi abrir escotilha meio mar vai matar todos tubaroes envenenado porque politicos brasil lixo", neutro
"por todos cadeia julgamento fuzilamento", neutro
"precisamos camara eleitos povo defender povo defender corruptos", neutro
"parlametares defeder temer dessa acusacao merece voto respeito sociedade brasileira", neutro
"grande jabor muita coragem bateu frente safado temer quadrilha", neutro
"problema congresso conluio rabos presos", neutro
"quadrilha chapa unica juntos ceu infernoqdo mencionam temer quadrilha jamais esquecer lulao faz parte acordao", neutro
"maioria corruptos vai ser dificil temer vai prometer coisa corruptos aprovar denuncia", neutro
"vamos pressionar fim foro previlegiado vergonha age corretamente precisa foro nada", neutro
"acho acredita coelho pascoa papai noel", neutro
"senador diz sociedade impressao elite melhor dizer povo brasileiro correto real engloba todos fazem parte desta nacao ser bom presidente referir povo dizendo casamento casado existe faremos vamos porque prsidente faz nada sozinho dinheiro povo entao povo paga povo faz esquecam disso assumir cargo parlamento representantes", neutro
"saiu pesquisa rejeicao deputados acompanharam vontade povo populacao deve estar atentatodos politicos funcionarios povo", neutro
"povo espera posicao correta representantes votando contra governo corrupto aliados basta sofrimento pagamos roubos politicos inescrupulosos", neutro
"consequencia senador ninguem vai reeleger rsrsrsr desse politicos corruptos", neutro
"presidente precisamos pois cansados destes ladroes criminosos governaram hoje", neutro
"comentase temer faz parte chefe quadrilha acho maior criminoso pais pois hospitais morrem gente cada instante falta medico remedio pergunto criminoso senhor naoe governo federal momento temer cadeia nele", neutro
"queremos pessoas presas muitos morreram culpa dessa corrupcao", neutro
"infelizmente maioria deputados partido votaram favor temer primeira denuncia", neutro
"temer sair entra renam juca fica maia sempre escolher menos pior", neutro
"outra manobra temer contra nacao brasileira infelizmente sistema cronico politica suja citados agora", neutro
"homem deveria estar presosem direito nenhum recurso", neutro
"porque nao faz alguma coisa pra ajudarfale alguma coisa sabe juiz sergio moro", neutro
"investigar sendo comprovado corrupcao ora denunciada colocar culpados cadeia fazer devolver erario subtraido", neutro
"perdi esperanca existe quadrilha malfeitores instalada congresso", neutro
"presente toda familia voto carol cruz lucia amato", neutro
"favor senador deixe passar branco quadrilha temer", neutro
"primeiro lula disto abro mao", neutro
"votou cotra povo enganado sqn", neutro
"varias quadrilhas cade exercito", neutro
"", neutro
"", neutro
"todos vagabundos preso morto", neutro
"senador quantos senadores ouro igual senhor", neutro
"todo brasileiro espera justica", neutro
"bravo", neutro
"parabens alvaro dias basta temer", neutro
"forcas armadas senador deixar vamos virar pais angola", neutro
"voto alvaro dias", neutro
"candidato presidente", neutro
"agora fazia outros anos desmando", neutro
"voto pra", neutro
"valeu senador", neutro
"parabens senador", neutro
"vai adiantar torcer pois comprados", neutro
"assim esperamos chega politica suja nefasta cofres publicos", neutro
"espro dias melhores dias presscisamos dias", neutro
"camaras deputados cheio corruptos", neutro
"ser votado fim foro camara", neutro
"diretas", neutro
"espero camara todo povo brasileiro", neutro
"compra votos senhores deputados", neutro
"avante temer", neutro
"alvaro dias representa", neutro
"sim minimo decencia", neutro
"vamos ver desta vez deputados vao conseguir fazer conta nada", neutro
"concordo futuro presidente", neutro
"otimo quadro pais parabens senador recife", neutro
"deve ter nenhum parlamentar pmdb ccj", neutro
"candidato", neutro
"boas palavras presidente", neutro
"todos vao ser comprados novamentee tudosera enterrado", neutro
"senador povo brasileiro senhor", neutro
"oremos", neutro
"nesse acho confio", neutro
"presidente", neutro
"caro senador acredita nisso", neutro
"apoiado senador", neutro
"espero deputados vedam", neutro
"pessoa digna denunciaria", neutro
"quero acreditar", neutro
"correto", neutro
"maioria barco rico defendem", positivo
"espero consiga comprar ninguem dessa vez", neutro
"toda razao", neutro
"esperamos", neutro
"parabens senador", neutro
"esperando", neutro
"acrescento exemplo deve vir cima", neutro
"vendo tamanho pizza", neutro
"certo julgar corruptos", neutro
"voto senador presidencia", neutro
"apoio alvaro diad", neutro
"acredito ver porco voar", neutro
"diga reeleicao reeleicao gera corrupcao vamos renovar congresso nacional brasil", neutro
"observem senador alvaro dias todos podemos aparecem denuncia alguma corrupcao", neutro
"camara pode cometer erro novamente pois bandidos querem cargos saquear nacao verdadeiros chupins sangue sugas reeleicao vamos fazer faxina assembleia nacional limpeza total congresso nacional cadeia bandidagem", neutro
"tirar temer colocar maia diferenca faz melhor esperar eleicoes ganha melhor", neutro
"", neutro
"", neutro
"senadoreu voto senhor presidente tudo aparelhado eleicao 2018nao engane trupe promete aprontar todas contra lava jato ", neutro
"todos poupam aecio qualquer cidadao brasileiro quer emprestimo recorre bancos", neutro
